station,distance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10
OsloS,0,15:05,19:05,22:27,00:05,06:27,08:25,12:03,14:25,16:25,23:03
Sandvika,14,14:49,18:49,22:11,23:49,06:11,08:39,12:18,14:39,16:39,23:18
Asker,24,14:42,18:42,22:04,23:42,06:04,08:46,12:24,14:46,16:46,23:25
Drammen,42,14:27,18:28,21:51,23:27,05:51,09:00,12:38,15:00,17:00,23:38
Hønefoss,113,13:17,17:18,20:57,22:26,04:54,09:55,13:39,16:00,18:01,00:41
Nesbyen,207,12:06,15:58,19:41,21:09,03:37,11:03,14:51,17:08,19:12,01:57
Gol,225,11:54,15:45,19:28,20:55,03:25,11:16,15:04,17:21,19:28,02:06
Ål,251,11:35,15:25,19:09,20:33,03:06,11:35,15:26,17:40,19:49,02:31
Geilo,275,11:12,15:04,18:49,20:13,02:42,11:56,15:49,18:01,20:12,03:07
Ustaoset,288,10:59,14:50,18:35,19:59,02:30,12:08,16:02,18:12,20:23,03:19
Finse,325,10:33,14:20,18:06,19:27,02:00,12:37,16:35,18:56,20:50,03:49
Myrdal,359,10:04,13:52,17:40,18:52,01:20,13:06,17:04,19:25,21:19,04:21
Voss,408,09:22,13:01,16:57,18:07,00:28,13:51,17:54,20:11,22:05,05:09
Arna,485,08:23,11:52,15:50,16:54,23:10,14:49,18:55,21:23,23:07,06:16
Bergen,494,08:14,11:43,15:41,16:45,23:00,15:00,19:06,21:33,23:18,06:27
